	pos_x	pos_y	radians	degrees
0	2.5503795170899175	6.518862195107992	0.37292391800229646	21.36696658101437
1	3.7220540681904515	5.92843263548359	0.5606325345378977	32.1218780867439
2	5.088703950013945	4.806775645805874	0.8138810738801179	46.6319505589059
3	6.955397494949667	0.788952271844061	1.4578488649624215	83.52858713028422
4	6.966136837556846	-0.6877045589739188	1.6691985631632467	95.6380328385552
5	5.906831145551752	-3.756240915854543	2.13720596156726	122.45288154800281
6	4.655212444132758	-5.227714328460529	2.414058198270484	138.3153462598544
7	0.9137742776495753	-6.940102057571344	3.0106798572848033	172.49924928746825
8	-1.241666910390442	-6.888995810975751	3.319917249514571	190.21724672986556
9	-4.786460075336326	-5.107817532685695	3.8945231076450644	223.1397372842358
10	-6.349382647847569	-2.94709008875063	4.277827291343672	245.1014492798732
11	-6.9628560195752955	-0.7201639054160305	4.609326064235918	264.0949298803647
12	-6.507940722298918	2.5781209349143093	5.089572021068768	291.6109963351089
13	-5.648510568624742	4.134528794933541	5.344249354104701	306.20293265571553
14	-4.222408264901137	5.583123538351499	5.635676689243742	322.90048899392724
15	-1.1522918288859443	6.904507479978763	6.117819541057004	350.5252395252286
